Complexity metrics,ÖÜËÄ, 25 3ÔÂ 2021 20:28:28 CST
Method,CogC,ev(G),iv(G),v(G)
"Const.Const(BigInteger)",0,1,1,1
"Const.clone()",0,1,1,1
"Const.deri()",0,1,1,1
"Const.toString()",0,1,1,1
"Cos.Cos(BigInteger)",0,1,1,1
"Cos.clone()",0,1,1,1
"Cos.deri()",4,4,4,4
"Cos.toString()",3,3,2,3
"CreatTree.getRoot(String)",19,1,10,10
"Deri.deri(Node)",21,11,12,14
"Deri.deritoolong(String,String,String,String)",27,8,13,19
"Expression.Expression(String)",0,1,1,1
"Expression.clone()",0,1,1,1
"Expression.deri()",2,2,1,2
"Expression.toString()",2,2,1,2
"Factor.clone(Factor)",6,7,7,7
"Factor.deri(Factor)",6,7,7,7
"Macro.getPatternConst()",0,1,1,1
"Macro.getPatternCos()",0,1,1,1
"Macro.getPatternExp()",0,1,1,1
"Macro.getPatternItem()",0,1,1,1
"Macro.getPatternPower()",0,1,1,1
"Macro.getPatternSin()",0,1,1,1
"MainClass.main(String[])",1,1,1,2
"ManageExp.deleteBracket(String)",13,4,12,13
"ManageInput.manageBracket(String)",12,1,9,10
"ManageInput.manageInput(String)",0,1,1,1
"ManageInput.manageOrigin(String)",4,1,3,4
"Node.Node(Factor)",0,1,1,1
"Node.Node(Factor,Node,Node)",0,1,1,1
"Node.add(Node,Node)",2,1,2,2
"Node.getFactor()",0,1,1,1
"Node.getLeftnode()",0,1,1,1
"Node.getRightnode()",0,1,1,1
"Node.setFactor(Factor)",0,1,1,1
"Node.setLeftnode(Node)",0,1,1,1
"Node.setRightnode(Node)",0,1,1,1
"Node.toString()",3,2,2,3
"Oper.Oper(String)",0,1,1,1
"Oper.clone()",0,1,1,1
"Oper.toString()",0,1,1,1
"Power.Power(BigInteger)",0,1,1,1
"Power.clone()",0,1,1,1
"Power.deri()",5,5,5,5
"Power.getIndex()",0,1,1,1
"Power.toString()",4,4,3,4
"Sin.Sin(BigInteger)",0,1,1,1
"Sin.clone()",0,1,1,1
"Sin.deri()",4,4,4,4
"Sin.toString()",3,3,2,3
"Tree.Tree()",0,1,1,1
"Tree.add(Node,Node)",5,4,5,5
"Tree.getRoot()",0,1,1,1
"Tree.setRoot(Node)",0,1,1,1

Class,OCavg,OCmax,WMC
"Const",1.00,1,4
"Cos",2.25,4,9
"CreatTree",10.00,10,10
"Deri",12.50,14,25
"Expression",1.50,2,6
"Factor",7.00,7,14
"Macro",1.00,1,6
"MainClass",2.00,2,2
"ManageExp",9.00,9,9
"ManageInput",3.33,6,10
"Node",1.20,2,12
"Oper",1.00,1,3
"Power",2.40,5,12
"Sin",2.25,4,9
"Tree",1.75,4,7

Package,v(G)avg,v(G)tot
"",2.91,157

Module,v(G)avg,v(G)tot
"homework2",2.91,157

Project,v(G)avg,v(G)tot
"project",2.91,157

